Provider name,Learning aim reference,Learning aim title,Funding model
BARNSLEY COLLEGE,60328137,Certificate in Understanding Children and Young People's Mental Health,ASF
BARNSLEY COLLEGE,60348240,Award in Digital and Creative Industries,ASF
BARNSLEY COLLEGE,60333741,Award in Skills for Creative Industries,ASF
BARNSLEY COLLEGE,60146084,GCSE (9-1) in Mathematics,ASF
BARNSLEY COLLEGE,60362959,Certificate in Digital Marketing (RQF),ASF
BARNSLEY COLLEGE,60021718,Award in Introductory Metal Inert Gas Welding Skills,ASF
BARNSLEY COLLEGE,50122186,NVQ Diploma in Performing Manufacturing Operations,ASF
BARNSLEY COLLEGE,60ASF0544,Functional Skills Qualification in English,ASF
BARNSLEY COLLEGE,60ASF0556,Functional Skills Qualification in Mathematics,ASF
BARNSLEY COLLEGE,60155ASF3,Award in Computerised Payroll for Business (RQF),ASF
BARNSLEY COLLEGE,6ASF08187,Award in Bookkeeping,ASF
BARNSLEY COLLEGE,60364567,Award in Mental Health Awareness,ASF
BARNSLEY COLLEGE,50097520,Award in Preventing Contact Dermatitis,ASF
BARNSLEY COLLEGE,60000442,Award in Principles of Customer Service (RQF),ASF
BARNSLEY COLLEGE,60148627,Award in Employability Skills,ASF
BARNSLEY COLLEGE,50088828,Certificate in Nail Technology,ASF
BARNSLEY COLLEGE,60ASF0581,Functional Skills Qualification in English,ASF
BARNSLEY COLLEGE,60ASF06ASF,Functional Skills Qualification in Mathematics (Entry 3),ASF
BARNSLEY COLLEGE,60328253,Diploma in Care (RQF),ASF
BARNSLEY COLLEGE,6000728X,Certificate in Counselling Skills,ASF
BARNSLEY COLLEGE,60ASF3243,Award in Construction Skills,ASF
BARNSLEY COLLEGE,60328186,Certificate in Understanding Safeguarding and Prevent,ASF
BARNSLEY COLLEGE,60007278,Diploma in Counselling Skills,ASF
BARNSLEY COLLEGE,60367684,Certificate in Networking and Cybersecurity,ASF
BARNSLEY COLLEGE,60365286,Award in Introduction to Programming,ASF
BARNSLEY COLLEGE,60ASF6049,Certificate in Culinary Skills,ASF
BARNSLEY COLLEGE,6032997X,Certificate in Principles of Team Leading (RQF),ASF
BARNSLEY COLLEGE,6013ASF92,Certificate in Understanding Nutrition and Health,ASF
BARNSLEY COLLEGE,60346498,Functional Skills Qualification in Mathematics,ASF
BARNSLEY COLLEGE,60ASF060X,Functional Skills Qualification in Mathematics,ASF
BARNSLEY COLLEGE,6ASF00720,Award in Energy Efficiency and Sustainability,ASF
BARNSLEY COLLEGE,50088129,Certificate in Women's Hairdressing,ASF
BARNSLEY COLLEGE,6036502X,Certificate in Digital and IT Skills,ASF
BARNSLEY COLLEGE,60367726,Certificate in Software Development,ASF
BARNSLEY COLLEGE,6032949X,Certificate in Principles of Business Administration (RQF),ASF
BARNSLEY COLLEGE,60326748,Diploma in Adult Care (RQF),ASF
BARNSLEY COLLEGE,6033ASF5X,Certificate in Understanding Common Childhood Illnesses,ASF
BARNSLEY COLLEGE,60324776,Award in Preparing to Work in Schools,ASF
BARNSLEY COLLEGE,60364531,Award in Health and Wellbeing (RQF),ASF
BARNSLEY COLLEGE,60ASF1652,Award in Introduction to First Aid for Mental Health (RQF),ASF
BARNSLEY COLLEGE,50096072,Certificate in Beauty Specialist Techniques,ASF
BARNSLEY COLLEGE,6008456X,Award in Personal Development for Employability (RQF),ASF
BARNSLEY COLLEGE,60369504,Award in Understanding Stewarding at Spectator Events (RQF),ASF
BARNSLEY COLLEGE,60051760,Certificate in Team Leading Principles (RQF),ASF
BARNSLEY COLLEGE,60ASF53ASF,Award for Door Supervisors in the Private Security Industry,ASF
BARNSLEY COLLEGE,6034ASF15,Award in Work-Related Studies for the Customer Service Sector (RQF),ASF
BARNSLEY COLLEGE,60172885,Award in Computerised Accounting for Business (RQF),ASF
BARNSLEY COLLEGE,603634ASF,Certificate in Bookkeeping,ASF
BARNSLEY COLLEGE,60087079,Diploma in Barbering Studies,ASF
BARNSLEY COLLEGE,60ASF7ASFX,Diploma in Culinary Skills,ASF
BARNSLEY COLLEGE,60365262,Award in Cybersecurity,ASF
BARNSLEY COLLEGE,603ASF625,Certificate in Understanding Behaviour that Challenges,ASF
BARNSLEY COLLEGE,60079952,Diploma in Site Carpentry,ASF
BARNSLEY COLLEGE,60ASF6133,Award in Career Progression Opportunities,ASF
BARNSLEY COLLEGE,6033454X,Certificate of Introduction to Construction,ASF
BARNSLEY COLLEGE,60170050,Award in Customer Service (RQF),ASF
BARNSLEY COLLEGE,50ASF2539,Award in Mental Health Awareness,ASF
BARNSLEY COLLEGE,60142923,GCSE (9-1) in English Language,ASF
BARNSLEY COLLEGE,6036287X,Certificate for Dog Grooming Assistants,ASF
BARNSLEY COLLEGE,40015567,Access to HE Diploma (Health and Social Care),ASF
BARNSLEY COLLEGE,60187529,GCSE (9-1) in Biology,ASF
BARNSLEY COLLEGE,50098160,Diploma in Vehicle Fitting Principles (VRQ),ASF
BARNSLEY COLLEGE,60075120,Certificate in Mathematics Skills (Entry 3),ASF
BARNSLEY COLLEGE,60363447,Certificate in Bookkeeping,ASF
BARNSLEY COLLEGE,603ASF968,Certificate in Land-based Studies,ASF
BARNSLEY COLLEGE,601ASF608,Diploma in Employability Skills,ASF
BARNSLEY COLLEGE,60054980,Diploma in Electrical Installations (Buildings and Structures),ASF
BARNSLEY COLLEGE,60ASF0520,Functional Skills Qualification in English (Entry 3),ASF
BARNSLEY COLLEGE,60075958,Certificate in English Skills,ASF
BARNSLEY COLLEGE,60343928,Award in Preparation for Employment (Entry 2),ASF
BARNSLEY COLLEGE,6034376X,Award In Personal and Social Skills (Entry 2),ASF
BARNSLEY COLLEGE,600759ASF,Certificate in English Skills (Entry 3),ASF
BARNSLEY COLLEGE,40014988,Access to HE Diploma (Criminal Justice and Policing Studies),ASF
BARNSLEY COLLEGE,600121ASF,"Award in Introduction to Health, Social Care and Children's and Young People's Settings",ASF
BARNSLEY COLLEGE,60014829,Diploma in Women's Hairdressing,ASF
BARNSLEY COLLEGE,60324429,Award in Health and Safety within a Construction Environment (RQF),ASF
BARNSLEY COLLEGE,60137071,Award in Introduction to Construction Careers (Entry 3),ASF
BARNSLEY COLLEGE,60329956,Certificate in Principles of Customer Service (RQF),ASF
BARNSLEY COLLEGE,40009646,Access to HE Diploma (Criminal Justice and Policing Studies),ASF
BARNSLEY COLLEGE,6037ASF83,Essential Digital Skills,ASF
BARNSLEY COLLEGE,60163306,Certificate in Understanding Autism,ASF
BARNSLEY COLLEGE,601542ASF,Award in ESOL Skills for Life (Writing) (Entry 3),ASF
BARNSLEY COLLEGE,60076458,Certificate in Warehousing and Storage Principles (RQF),ASF
BARNSLEY COLLEGE,60154172,Award in ESOL Skills for Life (Writing) (Entry 2),ASF
BARNSLEY COLLEGE,60154184,Award in ESOL Skills for Life (Speaking and Listening) (Entry 2),ASF
BARNSLEY COLLEGE,60ASF0532,Functional Skills Qualification in Mathematics (Entry 2),ASF
BARNSLEY COLLEGE,60075144,Certificate in Mathematics Skills,ASF
BARNSLEY COLLEGE,40012669,Access to HE Diploma (Creative Digital Media),ASF
BARNSLEY COLLEGE,60367660,Certificate in Games Technologies,ASF
BARNSLEY COLLEGE,50098184,Diploma in Light Vehicle Maintenance and Repair Principles (VRQ),ASF
BARNSLEY COLLEGE,60075156,Certificate in Mathematics Skills (Entry 2),ASF
BARNSLEY COLLEGE,60365341,Award in Cybersecurity,ASF
BARNSLEY COLLEGE,60364440,Award in Digital Development,ASF
BARNSLEY COLLEGE,60174377,BTEC National Extended Diploma in Applied Science,ASF
BARNSLEY COLLEGE,60332001,"Certificate in Information, Advice or Guidance (RQF)",ASF
BARNSLEY COLLEGE,60154202,Award in ESOL Skills for Life (Speaking and Listening),ASF
BARNSLEY COLLEGE,60154159,Award in ESOL Skills for Life (Writing) (Entry 1),ASF
BARNSLEY COLLEGE,60ASF0568,Functional Skills Qualification in English (Entry 2),ASF
BARNSLEY COLLEGE,60175886,BTEC National Extended Diploma in Engineering,ASF
BARNSLEY COLLEGE,60154196,Award in ESOL Skills for Life (Speaking and Listening) (Entry 3),ASF
BARNSLEY COLLEGE,60346462,Functional Skills Qualification in English,ASF
BARNSLEY COLLEGE,60343746,Award In Personal and Social Skills (Entry 1),ASF
BARNSLEY COLLEGE,60075934,Certificate in English Skills (Entry 2),ASF
BARNSLEY COLLEGE,60079137,Diploma in Bricklaying,ASF
BARNSLEY COLLEGE,40014770,Access to HE Diploma (Art and Design),ASF
BARNSLEY COLLEGE,60080474,Diploma in Site Carpentry,ASF
BARNSLEY COLLEGE,50098147,Diploma in Light Vehicle Maintenance and Repair Principles (VRQ),ASF
BARNSLEY COLLEGE,60173075,Advanced Technical Diploma in Electrical Installation (450),ASF
BARNSLEY COLLEGE,6015424X,Award in ESOL Skills for Life (Reading),ASF
BARNSLEY COLLEGE,Z00094ASF,NEBOSH,ASF
BARNSLEY COLLEGE,60329907,Award in Living and Working in the UK (Entry 2),ASF
BARNSLEY COLLEGE,6036533X,Award in Website Design,ASF
BARNSLEY COLLEGE,60ASF057X,Functional Skills Qualification in Mathematics (Entry 1),ASF
BARNSLEY COLLEGE,60346486,Functional Skills Qualification in Mathematics,ASF
BARNSLEY COLLEGE,60136996,Certificate in Principles of Leadership and Management,ASF
BARNSLEY COLLEGE,60154251,Award in ESOL Skills for Life (Writing),ASF
BARNSLEY COLLEGE,6037ASF95,Essential Digital Skills (Entry 3),ASF
BARNSLEY COLLEGE,60155ASF5,Certificate in Computerised Payroll for Business (RQF),ASF
BARNSLEY COLLEGE,60ASF1482,Certificate in Understanding Mental Health First Aid and Mental Health Advocacy in the Workplace,ASF
BARNSLEY COLLEGE,60086130,Diploma in Plastering (Construction),ASF
BARNSLEY COLLEGE,60126292,Diploma for the Early Years Workforce (Early Years Educator),ASF
BARNSLEY COLLEGE,60343722,Certificate In Personal and Social Skills (Entry 1),ASF
BARNSLEY COLLEGE,60363ASF1,Certificate in Accounting,ASF
BARNSLEY COLLEGE,601ASF703,Diploma in Practical Horticulture Skills,ASF
BARNSLEY COLLEGE,60149541,Certificate in Computerised Accounting for Business (RQF),ASF
BARNSLEY COLLEGE,50094397,NVQ Diploma in Professional Cookery,ASF
BARNSLEY COLLEGE,60336468,Certificate in IT User Skills (RQF),ASF
BARNSLEY COLLEGE,60154147,Award in ESOL Skills for Life (Speaking and Listening) (Entry 1),ASF
BARNSLEY COLLEGE,600808ASF,Diploma in Bricklaying,ASF
BARNSLEY COLLEGE,60365407,Award in Website Design and Development,ASF
BARNSLEY COLLEGE,60017570,Award in Substance Misuse Awareness (RQF),ASF
BARNSLEY COLLEGE,60ASF6870,Certificate in Principles of Working with Individuals with Learning Disabilities,ASF
BARNSLEY COLLEGE,6ASF08199,Award in Business Skills,ASF
BARNSLEY COLLEGE,60336882,Certificate in Lean Organisation Management Techniques (RQF),ASF
BARNSLEY COLLEGE,60343953,Award in Preparation for Employment (Entry 3),ASF
BARNSLEY COLLEGE,60320230,Diploma in Principles of Management and Leadership,ASF
BARNSLEY COLLEGE,6ASF13729,Diploma in Adult Care (RQF) (England),ASF
BARNSLEY COLLEGE,60ASF0593,Functional Skills Qualification in English (Entry 1),ASF
BARNSLEY COLLEGE,50087307,Certificate in Barbering,ASF
BARNSLEY COLLEGE,6ASF41646,Diploma for Working in the Early Years Sector (Early Years Educator),ASF
BARNSLEY COLLEGE,60052077,Award in Health and Safety Awareness,ASF
BARNSLEY COLLEGE,60ASF2425,Award in Securing Employment,ASF
BARNSLEY COLLEGE,60ASF7526,Award in Personal and Social Skills,ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,Z0060048,"Non regulated Tailored Learning, First step engagement in learning",ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,Z0060050,"Non regulated Tailored Learning, Managing mental health and well-being",ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60089ASF8,Award in Progression (Entry 3),ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,Z0060ASF7,"Non regulated Tailored Learning, Essential Skills, Level 1, Maths",ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60349153,Functional Skills Qualification in English (Entry 3),ASF
